Date : 2026-02-24 13:01:22
Directory : /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool
Total : 56 files,  8128 codes, 163 comments, 1311 blanks, all 9602 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Markdown     |         11 |      3,660 |          6 |        687 |      4,353 |
| Dart         |         19 |      3,153 |          1 |        356 |      3,510 |
| C++          |         10 |        442 |         94 |        143 |        679 |
| XML          |          1 |        343 |          0 |          1 |        344 |
| CMake        |          4 |        241 |          0 |         45 |        286 |
| YAML         |          3 |        100 |         55 |         35 |        190 |
| JSON         |          1 |         68 |          0 |          0 |         68 |
| Swift        |          4 |         40 |          5 |         15 |         60 |
| Ruby         |          1 |         32 |          1 |         10 |         43 |
| Batch        |          1 |         30 |          0 |         10 |         40 |
| Shell Script |          1 |         19 |          1 |          9 |         29 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         56 |      8,128 |        163 |      1,311 |      9,602 |
| . (Files)                                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| .github                                                                                                                               |          1 |         59 |          0 |         16 |         75 |
| .github/workflows                                                                                                                     |          1 |         59 |          0 |         16 |         75 |
| app                                                                                                                                   |         45 |      4,419 |        157 |        615 |      5,191 |
| app (Files)                                                                                                                           |          3 |         51 |         55 |         26 |        132 |
| app/lib                                                                                                                               |         18 |      3,145 |          1 |        353 |      3,499 |
| app/lib (Files)                                                                                                                       |          1 |         48 |          0 |          4 |         52 |
| app/lib/data                                                                                                                          |          2 |        534 |          0 |         88 |        622 |
| app/lib/data/processors                                                                                                               |          2 |        534 |          0 |         88 |        622 |
| app/lib/domain                                                                                                                        |         10 |        709 |          0 |        121 |        830 |
| app/lib/domain (Files)                                                                                                                |          1 |        266 |          0 |         52 |        318 |
| app/lib/domain/models                                                                                                                 |          5 |        188 |          0 |         19 |        207 |
| app/lib/domain/services                                                                                                               |          4 |        255 |          0 |         50 |        305 |
| app/lib/infrastructure                                                                                                                |          4 |        592 |          1 |         85 |        678 |
| app/lib/infrastructure/encoding                                                                                                       |          1 |        144 |          0 |         26 |        170 |
| app/lib/infrastructure/exporters                                                                                                      |          1 |        246 |          1 |         29 |        276 |
| app/lib/infrastructure/io                                                                                                             |          1 |         46 |          0 |          5 |         51 |
| app/lib/infrastructure/security                                                                                                       |          1 |        156 |          0 |         25 |        181 |
| app/lib/ui                                                                                                                            |          1 |      1,262 |          0 |         55 |      1,317 |
| app/lib/ui/pages                                                                                                                      |          1 |      1,262 |          0 |         55 |      1,317 |
| app/macos                                                                                                                             |          8 |        502 |          7 |         35 |        544 |
| app/macos (Files)                                                                                                                     |          2 |         51 |          2 |         19 |         72 |
| app/macos/Flutter                                                                                                                     |          1 |         10 |          3 |          4 |         17 |
| app/macos/Runner                                                                                                                      |          4 |        434 |          0 |          8 |        442 |
| app/macos/Runner (Files)                                                                                                              |          2 |         23 |          0 |          7 |         30 |
| app/macos/Runner/Assets.xcassets                                                                                                      |          1 |         68 |          0 |          0 |         68 |
| app/macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                   |          1 |         68 |          0 |          0 |         68 |
| app/macos/Runner/Base.lproj                                                                                                           |          1 |        343 |          0 |          1 |        344 |
| app/macos/RunnerTests                                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| app/test                                                                                                                              |          1 |          8 |          0 |          3 |         11 |
| app/windows                                                                                                                           |         15 |        713 |         94 |        198 |      1,005 |
| app/windows (Files)                                                                                                                   |          2 |        119 |          0 |         30 |        149 |
| app/windows/flutter                                                                                                                   |          4 |        132 |          9 |         29 |        170 |
| app/windows/runner                                                                                                                    |          9 |        462 |         85 |        139 |        686 |
| doc                                                                                                                                   |          9 |      3,649 |          6 |        679 |      4,334 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                              | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/.github/workflows/release.yml                                     | YAML         |         59 |          0 |         16 |         75 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/README.md                                                         | Markdown     |          1 |          0 |          1 |          2 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/README.md                                                     | Markdown     |         10 |          0 |          7 |         17 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/analysis_options.yaml                                         | YAML         |          3 |         22 |          4 |         29 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/data/processors/code_cleaner.dart                         | Dart         |        442 |          0 |         67 |        509 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/data/processors/file_scanner.dart                         | Dart         |         92 |          0 |         21 |        113 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/domain/app_state.dart                                     | Dart         |        266 |          0 |         52 |        318 |
| /Users/zileyuan/Documents/Workspace/git/dart-projects/code-doc-tool/app/lib/domain/models/clean_code.dart                             | Dart         |         20 |          0 |          4 |         24 |
